Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
Express Logistic Sp.z o.o.	PL1231277587	Valid	Pass	Yes	EXPRESS LOGISTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	EUGENIUSZA ROMERA 10 MB4, 02-784 WARSZAWA	PL
Aro-Trans Rafał Bartosz Kosztowny Spedycja i Produkcja Mebli	PL9532383064	Valid	Pass	Yes	RAFAŁ KOSZTOWNY	ALEJA JERZEGO WASZYNGTONA 41 M63, 04-015 WARSZAWA	PL
C&T, a.s.	SK2022259723	Valid	Pass	Yes	C&T, a.s.	Hurbanova 5777/14, 97401 Banská Bystrica, Slovensko	SK
KLog Logística SA	PT510338879	Valid	Pass	Yes	K-LOG, LOGISTICA, S.A.	RUA DO PINHAL 250, MAIA, 4470-640 MAIA	PT
FIRMA TRANSPORTOWO-HANDLOWA EDWARD OSICA	PL8221005023	Valid	Pass	Yes	EDWARD OSICA	ZACHODNIA 34, 05-300 MIŃSK MAZOWIECKI	PL
CMA CGM Polska Sp. z o.o.	GB802298146	Valid	Pass	Yes	MACANDREWS & CO LTD	6TH FLOOR, 75 KING WILLIAM STREET, LONDON, EC4N 7BE, GB	GB
Sokołów-Logistyka	PL8231060414	Valid	Pass	Yes	'SOKOŁÓW-LOGISTYKA' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ALEJA 550-LECIA 2, 08-300 SOKOŁÓW PODLASKI	PL
NOSTA Logistik Sp. z.o.o.	PL5981632563	Valid	Pass	Yes	NOSTA LOGISTIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	AL. NIEPODLEGŁOŚCI 781, 81-805 SOPOT	PL
P&O Ferrymasters Ltd.	NL809172811B01	Valid	Fail	See suggestions			
Orange Logistics Sp. z o.o.	PL6342773808	Valid	Pass	No			
Rosteka UAB	LT100004761617	Valid	Pass	Yes	UAB "ROSTEKA"	Darbo g. 9, Kauno m., Kauno m. sav.	LT
Ekol Spain	ESB66160052	Valid	Pass				
