Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
	229275	109520	VILLART LOGISTIC S.L.	229275	ESB25479726	ES	C/ BARCELONA	NULL	25600	BALAGUER	active
VAT Nr wrong	293035	109600	Ibero Linhas - Transportes, Lda. (as agents for WEC LINES)	293035	500361703	PT	Urbanização da Matinha	Rua 2, Edificio Verde, 2º Esquerdo	1950-073	Lisboa	active
	237766	109675	Lafante Kamil Stańczak	Lafante	PL5252341571	PL	Aleja Solidarności 66/89	NULL	00-240	Warszawa	active
	250619	109691	Van Steenbergen Transport Arendonk	222172	BE0404199394	BE	Hoge Mauw 210	NULL	2370	Arendonk	active
	261972	109806	Gefco Tasimacilik ve Lojistik A.S.	261972	NULL	TR	Kayisdagi Cad. Karaman Ciftlik Yolu Kar	NULL	34752	Icerenköy - Istanbul	active
VAT Nr missing	200019	110477	Schenker Deutschland AG	200019	NULL	DE	Feineisenstraße 4	NULL	44339	Dortmund	active
	253686	110530	Troyka International Transport & Trade Inc.	253686	8590062681	TR	YENIBOSNA MER. MAH.BASIN EKSPRES YOLU CEMAL ULUSOY CD.SHT	NULL	34730	ISTANBUL	active
VAT Nr missing	221780	110577	Unterer GesmbH	221780	AT0000000000	AT	Luna 32	NULL	6250	Kundl	active
	246963	110955	NOLAN TRANSPORT	246963	IE4571931W	IE	OAKLANDS	NEW ROSS	51	CO WEXFORD	active
	233377	111374	Magnus Logistics, UAB	233377	LT10001806917	LT	Naugarduko str. 55A	NULL	3204	Vilnius	active
	234594	111558	Trans-Logistic Dębica	234594	PL8722095735	PL	Fabryczna 12	NULL	39-200	Debica	active
	283841	111714	VISLINE Sp.zo.o	283841	PL5862232082	PL	Siewna 7	NULL	81-574	Gdynia	active
VAT Nr missing	235220	111724	STALKO Przybysz i Wspólnicy Spółka Jawna	235220	PL0000000000	PL	PONIATOWSKIEGO	NULL	05-220	ZIELONKA	active
	235149	111833	BTG Feldberg & Sohn GmbH & Co. KG	235149	DE 170014163	DE	Wüppings Weide 1	NULL	46395	Bocholt	active
VAT Nr missing	247138	112012	Codognotto Austria GmbH	247138	NULL	AT	Lederergasse 35/12	NULL	1080	Wien	active
	244718	112270	TRANS ITALIA SRL	244718	IT02032300655	IT	PIAZZA MARTINEZ ,05	NULL	84085	MERCATO S.SEVERINO	active
	251312	112610	Gefco United Kingdom	306763	GB 272369149	GB	376-378 Chiswick High Road	Chiswick,	W4 5TF	London	active
	305901	113266	Transport Gapiński Sp. z o.o. Sp. k.	305901	PL7661997146	PL	Skocka 20	NULL	62-100	Wągrowiec	active
VAT Nr missing	235502	113385	XPO LOGISTICS (NORBERT DENTRESSANGLE) HIGH CUBE	235502	FR0000000000	FR	Z.I.  Rue des Moines	NULL	2203	SOISSONS	active
	291017	113482	Borusan Lojistik	291017	NULL	TR	YALÇIN KOREŞ CAD. NO:22	NULL	34303	İSTANBUL	active
	238008	113852	J&S Speed Kft	238008	HU 12939848	HU	Agostyáni út 91.	NULL	2890	Tata	active
	234090	114574	Euroafrica Shipping Lines Cyprus Limited	234090	CY10109723K	CY	Arch.Makariou III,229	MELIZA COURT , 4th floor	3105	Limassol , Cyprus	active
VAT Nr missing	302996	115706	Geodis Logistics Netherlands B.V.	302996	NULL	NL	Transportcentrum 24	NULL	7547RX	Enschede	active
	285150	116294	TRANSMEJA JSC	285150	LT451301917	LT	Metalistu str. 3	NULL	78109	Siauliai	active
	252367	116602	AGROLOGISTIKA	252367	LT100001123912	LT	Tilžės g. 60T	NULL	91108	Klaipėda	active
VAT Nr missing	240173	116618	VLANTANA UAB	240173	NULL	LT	Dvaro 1	Gobergiškės k.	96173	Klaipedos raj.	active
	243440	117319	Hecny Express LLC	243440	7715679440	RU	Prishvina, 8, build. 2	NULL	127549	Moscow	disabled
	306335	117453	Zammler Ukraine Ltd	306335	NULL	UA	Hryhoriia Andriushchenka str.,  4-H (G)	NULL	1135	Kyiv	active
VAT Nr wrong	270154	117670	DHL Global Forwarding Sp. z o.o.	270154	7280257292	PL	ul. Krakowiaków 44	NULL	02-255	Warszawa	active
	300793	117798	SIA GEFCO BALTIC	266476	LV50003993021	LV	P. BRIEZA 15	NULL	1010	Riga	active
VAT Nr missing	260916	117946	Alba-Zöchling	260916	HU0000000000	HU	Holland Fasor 9	NULL	8000	Székesfehérvár	active
	319704	118007	CMA CGM UK	McAndrPT	GB802298146	GB	Princes Parade	NULL	L3 1BG	liverpool	active
	243478	118075	Fracht FWO Polska Sp. z o.o.	243478	PL7542735115	PL	ul. Inflancka 4C	NULL	00-189	Warszawa	active
VAT Nr missing	306324	118946	GEFCO PORTUGAL TRANSITÁRIOS LDA	269824	NULL	PT	Rua Dr.ºAntónio Loureiro Borges	Edifício Arquiparque I, 1º Piso	1499 -016	Miraflores	active
VAT Nr missing	231033	119899	GEFCO Magyarorszag Kft.	231033	NULL	HU	Bocskai út 134-146	NULL	1113	Budapest	active
VAT Nr missing	303710	120187	WEC Lines	303710	NULL	NL	Albert Plesmanweg 59	NULL	3088 GB	Rotterdam	active
	230849	120335	Waberer's Polska Sp. z o.o.	230849	PL7772306116	PL	Kijowska 1	NULL	03-738	Warszawa	active
	294768	120511	LOGİTRANS LOJISTİK VE TAŞIMACILIK ORG.LTD.ŞTİ	294768	NULL	TR	ORHANLI MAH. DERVIS CADDESI NO:24 FLOOR:1 OFFICE:4A-B	TUZLA-İSTANBUL	34000	İSTANBUL	active
VAT Nr missing	242853	121651	A.M.P. Wieczorek Sp. z o.o.	242853	NULL	PL	Mazowiecka	79	05-311	Dębe Wielkie	active
VAT Nr missing	241368	121659	SPEDPARTNER	241368	NULL	PL	Leszcze 15	NULL	28-400	PINCZOW	active
	304435	122667	Bollore Logistics UK Ltd.	309209	GB 432 3813 73	GB	Unit 1 Skyline, Great South West Road	NULL	TW14 8NT	London Heathrow	active
	280887	122907	Stellar-Logistic	280887	36591814	UA	48 Degtyarivs`ka Str.	NULL	4112	Kyiv	active
